Q1_A,Q1_B1
Strongly in Favour,Will give jobs to people in Toronto
Strongly in Favour,"Jobs,"
Strongly Opposed,concept of gambling bothers me
Strongly Opposed,"I oppose any institution that promotes addictive practices, especially if funded publicly."
Strongly Opposed,The city is already over crowded with bad public transportation and too many cars
Strongly Opposed,"Gambling is not a desirable human activity.  It is easy to say that it doesn't matter to me if other people want to waste their time, energy and money gambling, but the fact is, I do not want my children to gamble because I think it is bad for them. Is it not then hypocritical for me to say that it doesn't matter to me if other people's children gamble?"
Neutral or Mixed Feelings,There are both pros and cons for having a gambling institution in the city.
Somewhat in Favour,Don't care.
Strongly Opposed,the possable location directly effects a historic site and a major event(the CNE)
Strongly Opposed,They are detrimental to society
Strongly Opposed,Increase crime rates
Strongly Opposed,its corruptive
Somewhat in Favour,It will create jobs!
Strongly Opposed,social cost of gambling/casino
Strongly Opposed,Casinos are hot spots for money laundering
Strongly Opposed,"Where gambling goes, criminals follow."
Strongly Opposed,Health: I have family members who have a history of gambling addiction
Strongly Opposed,Will the casino profits help aid any social programs? ie for aging elderly?
Somewhat Opposed,"I don't believe this is the best use of downtown real estate, based on Vancouver Casino."
Strongly Opposed,concern about my downtown neighborhoods
Strongly Opposed,It would drive even more unnecessary traffic into the city.
Strongly Opposed,"the myth that this will create jobs, when it will only increase joblessness in other areas, e.g. race tracks, entertainment industries, etc."
Somewhat in Favour,"Expense responsibility, earned money distribution; or, where does the money come from to build and where do the profits go."
Strongly Opposed,it would destroy the morale of the city
Strongly Opposed,Traffic and space issues
Strongly Opposed,Increase in gambling addiction
Strongly Opposed,destroy current image of city
Strongly Opposed,"It seems a proposal for short term financial gain and profiteering not long-term city development or adequate revenue generation. It is clear that the consultation process was heavily weighted in favour of pro-Casino lobbyists, not in the viability and sustainability of the quality of life for residents"
Strongly Opposed,"Please remember the helpless, hungry, who are poverty-stricken rather than promoting more crimes in our City because of casino-addiction."
Strongly Opposed,"There are already several casinos and gambling options near Toronto including Niagara, CasinoRama, Woodbine - it would not be a unique or distinctive addition to the city and is unlikely to add to Toronto as a tourism destination."
Strongly Opposed,I don't feel a casino adds any value to the City
Strongly Opposed,Degradationof the downtown
Strongly Opposed,increasing addictive behaviours in the downtown core
Strongly Opposed,Negative affect on local businesses
Strongly Opposed,"Will cause/attract problem gamblers, and stimulate more criminal activity."
Strongly Opposed,fosters addictive and compulsive behaviours
Strongly Opposed,I feel that casinos tax the poor & the weak
Strongly Opposed,Very few citizens of Toronto will benefit from a Casino here. Some non-citizens will benefit greatly.
Strongly in Favour,Would love a Casino closer as we go to Niagara Fall all the time
Strongly Opposed,Sexually exploits women
Strongly in Favour,World class shows (Like Cirque du Soleil)
Strongly Opposed,increases gambling addictions
Strongly Opposed,corruption of both the city and its people
Somewhat Opposed,People who live in the area should not end up with a casino next door that was not a part of the neigbourhood when they bought their home there.
Strongly Opposed,Attracting the wrong crowd into the city.
Somewhat Opposed,"Negative association with gambling, drinking, raucous behaviour"
Strongly Opposed,"More downtown traffic, at a time when we can't handle what we have."
Strongly Opposed,Casinos are a tax on those who can least afford it
Strongly Opposed,Ethical
Somewhat Opposed,I believe the econamic costs will outweigh the benefits
Strongly Opposed,It will only take away jobs from the Casinos already established
Strongly Opposed,Toronto does not need a casino
Strongly Opposed,It Preys on the poor
Strongly Opposed,negative economic impact
Strongly Opposed,Social implecations (break up families)
Strongly Opposed,"Unsavoury business, increasing crime and policing needs."
Strongly Opposed,Social costs outweigh economic benefits
Strongly Opposed,I have lived in Halifax and saw the crime and social problems associated with gambling addiction.
Strongly Opposed,"violence, crime"
Strongly in Favour,
Strongly Opposed,Will not benefit the city of Toronto
Strongly in Favour,Jobs
Strongly Opposed,"Disruption of local community life, traffic, transit and loss of business for locals"
Strongly in Favour,it will attract tourist dollars
Strongly Opposed,Cheapens the cultural identity of the city.
Strongly Opposed,A casino will probably cannibalize other local businesses
Strongly Opposed,Downtown Toronto is for people not casinos
Strongly Opposed,There are too many casinos now in Ontario.
Strongly Opposed,Casino gambling generates roughly $166 in social costs for every $54 of economic benefit. (Gambling in America: Costs and Benefits by Baylor University economist Earl Grinols)
Strongly Opposed,I do not support a casino for Toronto.
Strongly Opposed,increased gambling addictions
Strongly Opposed,Increase addiction
Strongly in Favour,everything cool about this city is being torn down to put up condos.  We need a nightlife or there will be no reason to buy a condo & live here.
Strongly Opposed,
Strongly Opposed,social issues with additictions
Somewhat Opposed,Increased Toronto Traffic in the area
Strongly Opposed,There is already casino at Woodbine racetrack - another is NOT required.
Strongly Opposed,Hurts local businesses and downtown arts and culture communities.
Strongly Opposed,More pressure on already strained social systems
Strongly Opposed,Increase in criminal activities
Strongly Opposed,Just look at Pam McConnells's email - she sats it perfectly
Strongly Opposed,Detrimental socio-economic consequences i.e. bad for local small businesses
Strongly Opposed,Casinos have negative impact on socio-economic conditions
Strongly in Favour,will be of major financial help to the city
Strongly Opposed,I live downtown.
Strongly Opposed,There isn't the infrastructure for it and it doesn't seem thats being taken into consideration.
Strongly Opposed,"The lotteries, race tracks, and off-track betting establishments in Toronto already provide enough gambling opportunities in the city."
Strongly Opposed,Social impact
Strongly Opposed,I do not support gambling in any form.
Strongly Opposed,gambling addictions
Strongly Opposed,Negative social impact of a casino on residential neighbourhoods
Strongly in Favour,Only if it creates good union jobs and significant community benefits for Toronto
